name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,domesticos,protegidos,exoticos
Tree swallow,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Tachycineta,Tachycineta bicolor,"Insects, berries, and seeds",,,20 million,Loss of nesting sites,The iridescent greenish-blue plumage,,,"Meadows, marshes, and shorelines",Omnivore,,,Tree Swallow,1.0,North America,,,BlueBlackWhite,Feathers,30 mph,,17-25g,4.7-5.5 inches,,,,"Snakes, raccoons, weasels, cats, chipmunks, falcons, hawks, owls, and magpies",Bird,,,,,12-14in,11-19 days,,,,,,Hollows and holes,15-25 days,,,1.0,1,0,0
Umbrellabird,"['Central-America', 'South-America']",Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus,"Fruit, Frogs, Insects",Chick,Solitary,Declining,Habitat loss,,,,Low and high altitude rainforest,Omnivore,,Diurnal,Umbrellabird,3.0,Central and South America,Migrates up and down the mountains!,Bird,Black,Feathers,,12 - 20 years,320g - 570g (11.3oz - 20oz),,2 - 4 years,,,,,38cm - 50cm (15in - 20in),Umbrella-like crest and black feathers,,,66cm - 71cm (26in - 28in),1 month,8 - 10 weeks,1.0,,Saltwater,,,,,,,1,0,0
Ural owl,"['Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,Strix uralensis,"Voles, shrews, rodents, birds, frogs, and insects",,,Up to 1.2 million mature individuals,Habitat loss,The large facial discs,,,Conifer and mixed forests,Carnivore,,,Ural Owl,1.0,Northern Eurasia,,,BlackWhiteLight-Brown,Feathers,,Up to 24 years old,"450-1,020g (1-2.2lbs)",,,,,Birds of prey and felines,Bird,50-64cm (20-25in),,,,1.1-1.3m (43-53in),A month,,,,,,Hollow tree cavities,1-2 months,,,,1,0,0
Wandering Albatross,['Ocean'],Animalia,Chordata,Aves,Procellariiforms,Diomedeidae,Diomedea,Diomedea exulans,"Cephalopods, crustaceans, fish",Chick,Solitary/Pairs,"25,500",Longline fishing,Enormous wingspan,"Goonie, snowy albatross, white-winged albatross, great albatross",,,Carnivore,,,Albatross,1.0,Southern oceans,,,BlackWhitePink,Feathers,67 mph,Over 50 years,5.9-12.7 kilograms (13-28 pounds),107-135 centimeters (3 feet 6 inches-4 feet 5 inches),11-15 years,,1,"Juveniles – skua, sheathbill, cat, goat, pig; adults – none",Bird,,,,,3-4 meters (10 to 12 feet),11 weeks,,,,,7-8 months,,,,,,1,0,0
Weaver Bird,"['Africa', 'Asia']",Animalia,Chordata,Aves,Passeriformes,Ploceidae,Ploceus,Ploceus cucullatus,"Seeds, grains, insects, frogs, and other animals",,,Unknown,Habitat loss,Some species grow bright yellow or red feathers for the breeding season,"Malimbes, weaver finches, and weaverbirds",,"Grasslands, farmlands, and forests",Omnivore,,,Weaver,,Africa and Asia,,,BrownYellowRedBlackWhite,,,10-20 years,28-85g (1-3oz),,,,,"Lizards, snakes, crows, and birds of prey",Bird,15-25cm (5-10in),,,,20-38cm (8-15in),A few weeks,,5.0,,,,Thorny trees,A few weeks,,,1.0,1,0,0
Whinchat,"['Africa', 'Europe']",Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Saxicola,Saxicola rebetra,"Insects, spiders, snails, worms",,SolitaryFlocks,"47,000 pairs in the United Kingdom","Habitat distruction caused by mowing, since they nest on the ground",The male's orange-buff breast during the breeding season,,,Lightly cultivated grassland and pastures,Omnivore,,,Whinchat,1.0,"Europe, western Asia",,,BrownWhiteOrange,,,2 - 7 years,0.46 to 0.92 ounces,4.7 - 5.5 inches,,,,"Stoats, weasels, smaller birds of prey, magpies, crows",,,,,,8.27 - 9.45 inches,11 - 14 days,Just over two weeks,,,,Four weeks,The ground,17 - 19 days,,,1.0,1,0,0
White-Tailed Eagle,"['Asia', 'Eurasia', 'Europe', 'North-America']",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus albicilla,"fish, birds, small mammals",,,"20,000-49,999","human disturbance, habitat destruction",White tail,"White-tailed sea eagle, gray sea eagle, Eurasian sea eagle",,"Coastal, marine, wetland, grassland, forest",Carnivore,,,White-tailed eagle,2.0,Eurasia,,,BrownGreyBlackWhiteCream,Feathers,46.5 mph,20-25 years,9.5-12 lbs,66cm-94cm,,,2,None,Bird,,,,,5.8ft-8ft,38-42 days,,,,,,"Tree, branch, cliff",1 year,,,1.0,1,0,0
Whooping Crane,['North-America'],Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,Grus americana,,,,50 to 250,,,,,"Marshes, wetlands, mudflats, and wet prairies of the United States and Canada.",Omnivore,,,Whooping Crane,1.0,,,,White,Feathers,,22 to 30 years,,,,,,"Foxes, coyotes, eagles, wolves, wolverines, and black bears.",Bird,5ft,,,,7.5 feet,A month,,,"Crustaceans, small fish, insects, amphibians, and reptiles.",,,Ground,80 to 100 days,,,1.0,1,0,0
Willow Warbler,"['Africa', 'Europe']",Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus trochilus,Insects and spiders,"Nestling, fledgling",Solitary,400-600 million,Habitat loss,Clear yellow stripe on eye,,10 days,"Open woodlands, trees",Carnivore,,,King Cobra,3.0,Europe and Africa,,Flock,YellowGreen,Feathers,,5 years,half an ounce,,one year,21 days,4-8,Raptors and cats,Passerine,5 inches,,,,seven inches,,,,,,,,,,,,0,1,0
Zebra Finch,"['Asia', 'Oceania']",Animalia,Chordata,Aves,Passeriformes,Estrildidae,Taeniopygia,Taeniopygia guttata,"Seeds, fruits, vegetables, and insects",,,Unknown,Predators,The speckled or striped plumage along the sides and tail,,,Savannas and grasslands,Omnivore,,,Zebra Finch,1.0,Australia and Timor,,,GreyRedBlackWhiteOrange,Feathers,,,12g,4 inches,,,,"Marsupials, snakes, mice, and birds of prey",Bird,,,,,8-9 inches,2 weeks,,,,,,"Trees, bushes, or burrows",3 weeks,,,,1,0,0
Bird,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Ocean', 'Oceania', 'South-America']",Animalia,Chordata,Aves,,,,,,,,,,,,,Forests and shrub land close to water,Omnivore,,,,,,Not all birds are able to fly!,,BrownGreyYellowRedBlueBlackWhiteOrangePink,Feathers,200 mph,1 - 100 years,0.002kg - 130kg (0.004lbs - 286lbs),,,,,"Foxes, Birds, Wild dogs",Bird,5cm - 270cm (2in - 106in),"Light, feathered body and beak",,,9cm - 300cm (4in - 118in),,,5.0,"Fruit, Spiders, Insects, Seeds",,,,,Fruit,,,1,0,0
Blue Tit,"['Africa', 'Asia', 'Europe']",Animalia,Chordata,Aves,Passeriformes,Paridae,Cyanistes,Cyanistes caeruleus,"Insects, spiders, fruits, and seeds",,,20-44 million pairs,Habitat loss,The bright blue crown and black eye stripe,Blue cap or blue bonnet,,"Woodlands, hedgerows, parks, and gardens",Omnivore,,,Blue Tit,3.0,"Europe, Asia, and Africa",,,GreyYellowBlueBlackWhite,,20 mph,Up to 10 years old,11g (0.4oz),,,,,"Cats, sparrowhawks, squirrels, and weasels",Bird,12cm (5in),,,,18cm (7in),16 days,,,,,,"Holes in trees, walls, or nest boxes",3 weeks,,,1.0,0,1,0
Bobolink,"['North-America', 'South-America']",Animalia,Chordata,Aves,Passeriformes,Icteridae,Dolichonyx,Dolichonyx oryzivorus,Insects and insect larvae,,,9.7 million,"Habitat destruction, climate change","Its song, which sounds like “Bob o’ Lincoln.”","Armyworm bird, reedbird, rice bird, butterbird",,"Wetlands, prairies, grassy fields",Omnivore,,,Bobolink,1.0,"Canada and northern United States in the spring, South America in the winter",,,BlackCreamLight-Brown,Feathers,45 mph,average of five years,one ounce,6.3 to 7.1 inches,,,3-7,"Skunks, birds of prey, raccoons, snakes",bird,,,,,11.5 inches,10-13 days,,5.0,,,,On the ground among the grass,one week,,,1.0,1,0,0
Booby,"['Central-America', 'Ocean', 'South-America']",Animalia,Chordata,Aves,Pelecaniformes,Sulidae,Sula,,,,,,,,,,Subtropical and tropical islands,Carnivore,,Flock,,,,Seabirds found across the South Pacific!,,BrownGreyBlackWhite,Feathers,60 mph,12 - 17 years,0.9kg -1.8kg (2lbs - 3.9lbs),,,,,,Bird,64cm - 91cm (25in - 36in),Large body size and brightly coloured feet,,,130cm - 155cm (51in - 61in),,,2.0,"Flying Fish, Sardines, Anchovies, Squid",Saltwater,,,,Flying Fish,,,1,0,0
Burrowing Owl,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,Athene cunicularia,"Insects, rodents, reptiles, amphibians, birds, and earthworms",owlet,,about 2 milion,habitat loss,The barred chest patterns,,," Grasslands, deserts, prairies, and agricultural lands",Carnivore,,,Burrowing owl,1.0,"parts of the Unite States, South America, and Central America",,,BrownWhite,Feathers,,6-11 years,122-255 grams,,,,,"Birds of prey, bobcats, cougars, coyotes, foxes, and more",Bird,7-10 inches,,,,,28-30 days,,,,,,Ground burrows,44-53 days,,,1.0,1,0,0
Hornbill,"['Africa', 'Asia', 'Oceania']",Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,,Bucerotidae,Fruits and insects,Chicks,Flock,Varies by species,Habitat loss,The large bill and horn,,23-96 days,"Rainforests, woodlands and savannas",Omnivore,1-7,,Hornbill,60.0,"The tropical regions of Africa, Asia and the Pacific Islands",,,GreyYellowRedBlueBlackWhiteOrange,Feathers,,40 years,13.6 lbs,63 inches,up to 6 years,,1-7,"Owls, eagles and humans",Bird,,,,,,,,,,,,,,,,,1,0,0
Humboldt Penguin,"['Ocean', 'South-America']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus humboldti,,,,,,,,,Rocky Ocean Islands,Carnivore,2,Colony,,,,Found on the South American coast!,,GreyBlackWhite,Feathers,,15 - 20 years,2kg - 5kg (4.4lbs - 11lbs),,,,,"Leopard Seal, Killer Whale, Sharks",Bird,60cm - 68cm (24in - 27in),Pink base of beak and black and white markings,,,,,,,"Krill, Fish, Shrimp",,,,,Krill,,,1,0,0
Hummingbird,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Trochilinae,,,,,,,,,,Rainforest and tropical jungles,Omnivore,,Solitary,,,,Beat their wings up to 80 times per second!,,BrownGreyRedWhiteTanGreen,Feathers,30 mph,3 - 5 years,2.2g - 20g (0.07oz - 0.7oz),,,,,"Hawks, Snakes, Lizards",Bird,5cm - 20cm (2in - 8in),"Long, thin beak and the ability to hover",,,Three to five inches,15 to 18 days,,2.0,"Nectar, Tree sap, Insects, Spiders",,,Sheltered trees or shrubbery and fork of branches,Four months for some species,Nectar,,1.0,1,0,0
Ibis,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Ciconiiformes,Threskiornithidae,,Threskiornithidae,,,,,,,,,"Marshes, wetlands and swamps",Omnivore,,Flock,,,,"Found in swamps, marshes and wetlands!",,BrownGreyBlackWhite,Feathers,,8 - 15 years,0.3kg - 2kg (0.6lbs - 4lbs),,,,,"Falcon, Hawks, Herons",Bird,50cm - 65cm (19.7in - 25in),Rounded body and long neck and beak,,,80cm - 120cm (32in - 47in),,,2.0,"Fish, Crab, Insects",,,,,Fish,,,1,0,0
Ivory-billed woodpecker,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Piciformes,Picidae,Campephilus,Campephilus principalis,"Berries, nuts, seeds, and insects",,,Unknown,Deforestation,The ivory-colored bill,,,Forests and swamps,Omnivore,,,Ivory-Billed Woodpecker,1.0,United States and Cuba,,,RedBlackWhite,Feathers,,Around 20 years,450-570g,19-21 inches,,,,"Raccoons, snakes, owls, crows, and hawks",Bird,,,,,31in,2 weeks,,,,,,Hollowed trees,5 weeks,,,,1,0,0
Lyrebird,['Oceania'],Animalia,Chordata,Aves,Passeriformes,Menuridae,Menura,,"Invertebrates, small lizards and frogs",,,"3500 for Albert’s lyrebird, over 10,000 for Superb lyrebird","Habitat destruction, hunting, invasive species such as red foxes",The male bird’s skill at mimicry,"Bulln-bulln, weringerong, woorail for the Superb, northern lyrebird for the Albert’s",,Bushland and rainforests,Carnivore,,,Lyrebird,2.0,"Australia: Victoria, Tasmania and New South Wales for the Superb lyrebird, Queensland for Albert’s lyrebird",,,BrownGrey,Feathers,9 mph,Up to 30 years,"Superb lyrebirds weigh around 2.14 pounds, Albert’s 2.06 pounds","74 to 98 inches long for the Superb, 84 to 90 inches long for Albert’s",,,1,"Birds of prey, including currawongs, foxes, cats and dogs",Bird,,,,,27 to 31 inches,,,,,,,On an earthen mound or among rocks,Six weeks,,,,1,0,0
Robin,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania']",Animalia,Chordata,Aves,Passeriformes,Muscicapidae,,,,,,,,,,,"Woodland, farmland and hedgerows",Omnivore,,Solitary,,,,There are more than 45 species in Australia alone!,,BrownWhiteOrange,Feathers,18 mph,1 - 3 years,16g - 22g (0.5oz - 0.7oz),12.5cm - 14cm (5in - 5.5in),,,,"Cats, Dogs, Raccoon, Foxes",Bird,,Small body size and bright red chest of males,,,Up to 16 inches,Two weeks,,4.0,"Worms, Insects, Fruit, Berries",,,Trees or shrubs,Two weeks,Worms,,1.0,1,0,0
Shoebill Stork,['Africa'],Animalia,Chordata,Aves,Pelecaniformes,Balaenicipitidae,Balaeniceps,Balaeniceps rex,"Fish, snakes, frogs, turtles, lizards, and more",,,"11,000 - 15,000",Habitat destruction,Shoe-shaped bill,Whaleheaded stork,,Wetlands,Carnivore,,,Shoebill stork,1.0,East Africa,,,GreyYellowBlue,Feathers,30 mph,Up to 35 years,12lbs,,,,,Humans and crocodiles,Bird,3.5-4.5ft,,,,8ft,30 days,,,,,,Small islands or floating vegetation,3-4 months,,,,1,0,0
Tropicbird,['Ocean'],Animalia,Chordata,Aves,Phaethontiformes,Phaethontidae,Phaethon,,,,,,,,,,Tropical islands and cliffs,Carnivore,,Flock,,,,Nests on tropical islands and cliffs!,,BrownYellowBlackWhite,Feathers,30 mph,10 - 16 years,0.3kg - 0.7kg (0.6lbs - 1.5lbs),75cm - 100cm (30in - 40in),,,,"Dogs, Cats, Stouts",Bird,,Long pointed beak and large body size,,,94 to 112 cm,40 to 42 days,,1.0,"Fish. Squid, Flying Fish",,,Ground or rocky cliffs,Adult feather appear at two to three years,Fish,,1.0,1,0,0
Chicken,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,Gallus gallus,,,,,,,,,Open woodland and sheltered grassland,Omnivore,,Flock,,,,"First domesticated more than 10,000 years ago!",,BrownYellowRedBlackWhiteOrange,Feathers,6 mph,2 - 4 years,1kg - 3kg (2.2lbs - 6.6lbs),30cm - 45cm (11.8in - 17.7in),,,,"Human, Fox, Raccoon",Bird,,"Sharp, pointed beak and clucking sounds",,,45cm - 60cm (17.7in - 23.6in),,,2.0,"Seeds, Fruit, Insects, Berries",,,,,Seeds,,,1,0,0
Chinese Geese,"['Asia', 'Eurasia']",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,Anser cygnoides domesticus,none,gosling,Family units,60-90 thousand,predators,"Long, arched neck and raised knob",Swan goose,28-35 days,farms,Herbivore,,,Chinese goose,,"Kazakhstan, Mongolia, Russia, Japan, South Korea, North Korea, China, Turkmenistan, Laos, Uzbekistan, Taiwan, and Thailand",,gaggle or flock,BrownWhite,Feathers,,15-20 years,,1-2 feet,2 years,12 weeks,10-15,"Snakes, rats, raccoons, coyotes, and foxes",waterfowl,2-3 feet,,,,,,,,,,,,,,,,1,0,0
Cinereous Vulture,"['Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aegypius,Aegypius monachus,"Calves, kids, lambs, piglets, young birds, rodents, reptiles and amphibians",,,,"Poisoning, poaching",Their great size,"Eurasian black vulture, monk vulture, black vulture",,"Forests, mountains, semi-deserts, often at heights between 330 and 6562 feet.",Carnivore,,,Cinereous vulture,1.0,"Eurasia, Asia, Middle East, Africa",,,BrownBlack,Feathers,,20 to 40 years,18 to 31 pounds,43 to 47.24 inches,,,1,Humans,Bird,,,,,8 to 9.5 feet,53 days,,2.0,,,,Trees and ledges,95 to 120 days,,,,0,1,0
Common Loon,"['Europe', 'North-America']",Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,Gavia Immer,,,,,,,,,Freshwater lakes in cooler climates,Omnivore,,Flock,,,,Also known as the Great Northern Diver,,BrownGreyBlackWhite,Feathers,,15 - 25 years,3kg - 5kg (6.6lbs - 11lbs),63cm - 81cm (24.8in - 31.8in),,,,"Human, Eagles, Osprey",Bird,,"Large body size and eerie, yodel-like call",,,100cm - 136cm (39in - 53.5in),,,2.0,"Fish, Frogs, Insects",,,,,Fish,,,1,0,0
Crested Penguin,"['Ocean', 'Oceania']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,,,,,,,,,Rocky Antarctic Islands,Carnivore,2,Colony,,,,Has long yellow eyebrows!,,GreyYellowBlackWhite,Feathers,,15 - 20 years,3kg - 6kg (6.6lbs - 13lbs),,,,,"Leopard Seal, Killer Whale, Sharks",Bird,60cm - 68cm (24in - 27in),Red beak and bright yellow eyebrows,,,,,,,"Krill, Fish, Shrimp",,,,,Krill,,,1,0,0
Crow,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,,"Insects, fruit, carrion",,,27 million,Pet trade,Caw,American crow,,"Fields, orchards, savannas, suburbs",Omnivore,,,Crow,,,,,Black,Feathers,59 mph,4-20 years,11-21 ounces,16-20 inches,,,3-7 eggs,"Coyotes, bobcats",Bird,6-10 inches,,,,36 inches,18 days,,,,,,"Trees, shrubs, telephone poles",,,,1.0,1,0,0
Cuckoo,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Cuculus,Cuculidae,insects,,,between 25 and 100 million birds,Shifting habitat,"Feet, which are zygodactyl (two inner toes face forward, two outer twos face backward)",,,"Forests, meadows, woodlands, and scrub areas.",Omnivore,"12 and 22 eggs each breeding season, spread among different nests.",,cuckoo,127.0,Every continent except Antarctica,,,,,19 mph,six years,.5 ounces to 1.4 ounces,,,,,"Raptors (adult birds), Snakes and raccoons (nestlings)",bird,,,,,"Up to 42 inches for the largest species, the channel-billed cuckoo",11 to 13 days,,,,,,"Trees, bushes, the ground. Some species lay their eggs in other bird's nests.",,,,,1,0,0
Duck,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Ocean', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Anseriformes,Anatidae,,,,,,,,,,,"Rivers, lakes and woodland wetlands",Omnivore,,Pack,,,,Rows of tiny plates line their teeth!,,BrownGreyYellowBlackWhiteGreen,Feathers,88 mph,4 - 8 years,0.7kg - 1.4kg (1.5lbs - 3lbs),30cm - 50cm (12in - 20in),,,,,Bird,,"Long, broad beak and webbed feet",,,60cm - 80cm (24in - 31in),,,5.0,"Insects, Frogs, Plants, Shellfish",,,,,Insects,,,1,0,0
Dunnock,"['Asia', 'Europe', 'Oceania']",Animalia,Chordata,Aves,Passeriformes,Prunellidae,Prunella,Prunella modularis,"Insects, spiders, worms, and seeds",,,25-44 million mature individuals,Habitat loss,The dark streaks on the back,"Hedge accentor, hedge sparrow, or hedge warbler",,"Shrubs, woodlands, hedgerows, and gardens",Omnivore,,,Dunnock,1.0,Europe and Western Asia,,,BrownGreyBlack,,,Up to 11 years old,19-24g (0.6-0.9oz),,,,,Cats and sparrowhawks,Bird,14cm (5.5in),,,,19-21cm (7.5-8.2in),12-13 days,,,,,,Shrubs or trees,11-12 days,,,1.0,0,1,0
House Finch,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,Haemorhous mexicanus,,,,20 million – 40 million,Predators,Bright red colors,American rosefinch,,"Grasslands, deserts, forests, cities, and suburbs",Herbivore,,,House finch,1.0,North America,,,BrownRedWhite,,,Up to 11 years,19g – 22g,5.5in,,,,"Raccoons, skunks, snakes, squirrels, rats, chipmunks, and other birds",Bird,6in,,,,8in – 10in,14 days,,,,,,Tree branches and other high structures,12 – 19 days,"Grains, seeds, buds, and flowers",,1.0,1,0,0
Ostrich,['Africa'],Animalia,Chordata,Aves,Struthioniformes,Struthionidae,Struthio,Struthio camelus,,,,,,,,,Desert and savanna areas,Omnivore,,Herd,,,,The largest bird in the world!,,BrownGreyBlackWhitePink,Feathers,42 mph,50 - 70 years,63kg - 130kg (140lbs - 290lbs),,,,,,Bird,1.8m - 2.7m (6ft - 9ft),Small wings and long neck and legs,,,1.5m - 2m (4.9ft - 6.5ft),,,10.0,"Grass, Roots, Seeds, Flowers",,,Ground,,Grass,,,1,0,0
Purple Finch,['North-America'],Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,Haemorhous purpureus,Insercts,,,6.4 million,Competition with other finches,Red-colored plumage,American rosefinch,,Forests and urban environments,Omnivore,,,Purple finch,1.0,North America,,,BrownRedBlackWhite,,,Up to 14 years,25g,6in,,,,"Cats, dogs, hawks, squirrels, jays, grackles, barn owls, merlins, and American kestrels",Bird,6in,,,,10in,14 days,,,,,,Tree branches,13 - 16 days,"Seeds, buds, fruits, and insects",,1.0,1,0,0
Red Finch,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,Haemorhous mexicanus,"Grains, seeds, flowers",Chick,Social,67 million - 1.7 billion in North America,Captured for pets,Bright red breast of male,House finch,12 to 17 days,"Desert grassland, open desert, oak savannah, suburban areas, shrubland",Herbivore,,,Red finch,3.0,"United States, Canada, Mexico",,Social,BrownRedWhite,Feathers,,139 months,0.67 to 0.78 oz,5.5 i,1 year,19 days,3-6,"Domesticated cats, skunks, hawks, raccoons, snakes, rats, Blue jays",Bird,3-4 in,,,,,,,,,,,,,,,,1,0,0
Rockhopper Penguin,"['Antarctica', 'Ocean', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysocome,,,,,,,,,Rocky Antarctic Islands,Carnivore,2,Colony,,,,There are 3 different species!,,GreyBlackWhite,Feathers,,15 - 20 years,2kg - 5kg (4.4lbs - 11lbs),,,,,"Leopard Seal, Killer Whale, Sharks",Bird,45cm - 58cm (18in - 23in),"Red beaks and eyes, with yellow head feathers",,,,,,,"Krill, Fish, Shrimp",,,,,Krill,,,1,0,0
Silkie Chicken,['Asia'],Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,Gallus gallus,,chick,Flock,,racoons,Fluffy feathers,Silky or Chinese Silk Chicken,Incubation period- 20 to 21 days,"farm, yards",Omnivore,,,Silkie,,,,flock,GreyBlueBlackWhite,Feathers,,7-9 years,1.5-3 pounds,,"Hens- 8 to 10 months, Cockerels- 10 to 12 months",Wean from heat lamps at 6 weeks,10-14 eggs,"Racoons, Bobcats, Foxes, Coyotes, Weasels, Birds of Prey, Skunks, Snakes, and Rodents",bird,8-14 inches,,,,,,,,,,,,,,China,,1,0,0
Treecreeper,"['Asia', 'Europe', 'Oceania']",Animalia,Chordata,Aves,Passeriformes,Certhiidae,Certhia,Certhia familiarus,"Insects, seeds",,,"40,000,000-79,999,999",Habitat loss,"Long, curved beak",Common treecreeper,,Woodlands,Omnivore,5-6 eggs,,Treecreeper,12.0,"Europe, Asia, Australia",,,BrownBlackWhiteTan,,20 mph,1-4 years,0.2-0.38 ounces,4-5 inches,,,,"Woodpeckers, hawks, pine martens",Bird,,,,,7-8 inches,13-17 days,,,,,,Behind tree bark,One year,,,1.0,1,0,0
Woodpecker,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'South-America']",Animalia,Chordata,Aves,Piciformes,Picidae,,,,,,,,,,,Dense forest and woodland,Omnivore,,Solitary,,,,There are 200 different species!,,BrownGreyRedBlackWhiteTanGreen,Feathers,15 mph,6-11 years,7-600g (0.2-21oz),,,,,"Rat, Snakes, Wild cats",Bird,,,,,Up to 30 inches,11 days to two weeks,,4.0,"Seeds, Fruit, Insects",,,Holes in the trunks of trees,late summer within the first year,Seeds,,,1,0,0
Dodo,['Extinct'],Animalia,Chordata,Aves,Columbiformes,Columbidae,Raphus,Raphus cucullatus,,,,,,,,,Tropical forest,Omnivore,1,Flock,Dodo,,,Native to the island of Mauritius!,,BrownGreyBlackWhite,Feathers,,10 - 30 years,20kg (44lbs),,,,,"Humans, Cats, Dogs",Bird,1m (3ft),Hooked beak and unable to fly,,,About 20 inches,Unknown,,1.0,Tambalacoque Fruit,,,Ground,Probably a few weeks or months,Tambalacoque Fruit,,,1,0,0
Golden Oriole,"['Africa', 'Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Aves,Passeriformes,Oriolidae,Oriolus,Oriolus oriolus,"Insects, Fruit, Seeds",Chick,Solitary,Sustainable,Habitat loss,,Eurasian Oriole,,Woodlands and open forests,Omnivore,,Diurnal,Golden Oriole,2.0,Across Europe and Asia,Migrates between Europe and Asia!,Bird,BrownYellowBlackGreen,Feathers,26 mph,8 - 12 years,15g - 20g (0.5oz - 0.7oz),,1 year,,,"Eagles, Storks, Raptors",,20cm - 24cm (7.8in - 9.4in),Yellow plumage of males and bright red eyes,,,44cm - 47cm (17in - 18.5in),15 - 18 days,20 days,4.0,,,,,,,,,0,1,0
Mourning Dove,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Columbiformes,Columbidae,Zenaida,Zenaida macroura,,,,475 million,Cats,"Can be identified by silhouette, whether perched or in-flight","Rain dove, turtle dove",,,Herbivore,,,American mourning dove,5.0,"southwestern US, Mexico, southern Canada, Panama",,,Grey-Brown,,55 mph,"1.5-5 years in the wild, up to 19 years in captivity",96–170 g (3.4–6.0 oz),22.5-36 cm (8.9-14.2in),,,,"Diurnal birds of prey, cats",Neoavian,,,,,37-45cm (14.6-17.7in),14 days/2 weeks,,,,,,"Trees, shrubs, vines, buildings, hanging flower pots, ground",3 months,Seeds,,1.0,1,0,0
Ringed Kingfisher,['North-America'],Animalia,Chordata,Aves,Coracliformes,Alcedinidae,Megaceryle,Megaceryle torquata,"Fish, frogs, crustaceans",Chick,Solitary,"20,000,000","Habitat loss, predators",Rust-colored breast,Collared kingfisher,23 days,"Marshes, riverbanks",Carnivore,,,Ringed kingfisher,,North and South America,,,GreyFawnWhite,Feathers,25 mph,5 to 10 years,10 to 12 ounces,12 to 16 inches,1 year,5 weeks,3-6,Raptors,,3 to 6 inches,,,,,,,,,,,,,,,,1,0,0
