name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,domesticos,protegidos,exoticos
Pesquet’s Parrot (Dracula Parrot),['Oceania'],Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,Psittrichas,Psittrichas fulgidus,,,,"20,000 to 49,999","Habitat destruction, overhunting for its feathers",One month,"Vulturine parrot, devil’s parrot, Pesquet's Parrot",,Rainforest,Herbivore,,,Dracula parrot,,New Guinea,,,GreyRedBlack,,, It’s one of only three parrots with naked faces.,"20,000 to 49,999","Its black, featherless face",,"Vulturine parrot, devil’s parrot, Pesquet's Parrot",Two,"Humans, snakes, bats, birds of prey",Bird,"Habitat destruction, overhunting for its feathers",,Two,"Humans, snakes, bats, birds of prey",9 to 9.8 inches,One month,,,,,,"A mature, hollow tree",12 weeks,,,,1,0,0
Pheasant,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Galliformes,Phasianidae,Phasianus,Phasianus Colchicus,,,,,,,,,"Grasslands, fields and wetlands",Omnivore,,Solitary,,,,Females lay between 8 and 12 eggs per clutch!,,BrownYellowRedBlackTanGreenOrange,Feathers,18 mph,7 - 10 years,0.9kg - 1.5kg (1.9lbs - 3.3lbs),53cm - 84cm (21in - 33in),,,,"Fox, Dog, Human",Bird,,Brightly coloured feathers and long tail of the male,,,71cm - 86cm (28in - 34in),,,10.0,"Insects, Berries, Seeds",,,,,Insects,,,1,0,0
Pileated Woodpecker,['North-America'],Animalia,Chordata,Aves,Piciformes,Picidae,Dryocopus,Dryocopus pileatus,Ants and other insects,,,1.9 million,"Cats, human activity",Bright red crest at top of head,"Wood hen, carpenter bird",,"Coniferous, mixed and hardwood forests",Omnivore,,,Pileated woodpecker,1.0,North America,,,GreyRed,,,12 years,8.8 to 12.3 ounces,16 to 19 inches,,,Four,"Weasels, squirrels, rat snakes, gray foxes",Bird,,,,,26 to 30 inches,18 days,,,,,,Holes bored in trees,,,,,1,0,0
Quail,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Galliformes,Phasianidae,Coturnix,Coturnix Coturnix,,,,,,,,,Woodland and forest areas,Omnivore,,Solitary,,,,Inhabits woodland and forest areas worldwide!,,BrownBlueBlackWhite,Feathers,15 mph,3 - 5 years,70g - 140g (2.4oz - 4.9oz),,,,,"Cats, Snakes, Raccoons",Bird,11cm - 20cm (4.5in - 7.8in),Small body size and brightly coloured eggs,,,30cm - 37cm (12in - 14.6in),,,6.0,"Seeds, Flowers, Insects",,,,,Seeds,,,1,0,0
Quetzal,"['Central-America', 'South-America']",Animalia,Chordata,Aves,Trogoniformes,Trogonidae,"Pharomachrus, Euptilotis","Pharomachrus, Euptilotis","Fruits, Berries, Insects",Chick,Solitary,"50,000",Habitat loss and capture,Soft and deep but loud calls,Trogon,,High and moist cloud forests,Omnivore,,Crepuscular,Quetzal,6.0,Central America,The tail feathers of the male can be 1m long!,Bird,BrownGreyRedBlueWhiteGreen,Feathers,,20 - 25 years,200g - 225g (7oz - 8oz),,5 - 6 years,,,"Squirrels, Owls, Hawks",,35cm - 40.5cm (14in - 16in),,,,,18 days,4 weeks,2.0,,,,,,,,,1,0,0
Red-Billed Quelea Bird,['Africa'],Animalia,Chordata,Aves,Passeriformes,Ploceidae,Quelea,Quelea quelea,Insects,Hatchling,Flock,Over 1 billion,Humans,Bright red bill,"Weaver bird, red-billed dioch",10 to 12 days,"Forest, shrublands, farms",Omnivore,,,Quelea bird,1.0,Africa,,"Flock, colony",BrownRedPurple,Feathers,25 mph,2 years,1 ounce,10 to 12 inches,1 year,10 days,1-5,Humans,Bird,2 inches,,,,,,,,,,,,,,,,0,0,1
Red-Headed Vulture,['Asia'],Animalia,Chordata,Aves,Accipitriformes,Accipitridae,,Sarcogyps calvus,Carcasses and pirated prey,,,"Less than 10,000",Nesting challenges and poisoning of food sources, Bright red head," Asian king vulture, Pondicherry vulture, Indian black vulture",,"Foothills, river valleys, wetlands, open country",Carnivore,,,Red-Headed Vulture,1.0,Northern India,,,BrownRedBlack,Feathers,30 mph,,,30 inches,,,1-3,,Bird,,,,,8.5,45 days,,1.0,,,,Crown of tall trees,,,,1.0,1,0,0
Red-winged blackbird,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Agelaius phoeniceus,"Seeds, grains, nuts, insects, snails, frogs",,,More than 200 million,Habitat loss,The glossy back feathers and red markings of the male,,,"Wetlands, woodlands, and grasslands",Omnivore,,,Red-winged Blackbird,1.0,North America,,,BrownYellowRedBlackWhite,Feathers,30 mph,,41-71g,8 inches on average,,,,"Raccoons, minks, owls, and raptors",Bird,,,,,12-15 inches,3-11 days,,,,,,"Cattails, sedges, grasses, and other vegetation",10-14 days,,,1.0,1,0,0
Rose-breasted Grosbeak,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Aves,Passeriformes,Carinalidae,Pheucticus,Pheucticus ludovicianus,Insects,,,4.1 million,"Predators, collisions",The male’s red breast,Cut-throat,,"Woods, swamps, near rivers, second growth forests, marshes, pastures, roadsides",Omnivore,,,Rose-breasted grosbeak,1.0,"North America, Central America, northern South America, the Caribbean",,,BrownRedBlackWhitePale Rose,Feathers,,"7.3 in the wild, 24 in captivity",1.5 to 1.6 ounce,7 to 9 inches,,,One to five,,Bird,,,,,11 to 13 inches,11 to 14 days,,,,Saltwater,,"Trees, vines, shrubs",10 days,,,1.0,1,0,0
Roseate Spoonbill,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Aves,Ciconiiformes,Threskiornithidae,Ajaja,Ajaja ajaja,"Minnows, Shrimp, Insects",Chick,Flock,Sustainable,Water pollution,"A long, spatula-shaped bill",,,Shallow wetlands and mangrove swamps,Omnivore,,Diurnal,Roseate Spoonbill,1.0,"Gulf Coast, Central and South America",The only Spoonbill in the western hemisphere!,Bird,RedBlackWhitePink,Feathers,,10 - 15 years,1.2kg - 1.8kg (2.6lbs - 4lbs),,3 - 4 years,,,"Alligators, Coyotes, Humans",,60cm - 80cm (23.6in - 31.4in),,,,110cm - 130cm (43in - 51in),3 weeks,1 month,3.0,,,,,,,,,1,0,0
Royal Penguin,"['Antarctica', 'Ocean']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes schlegeli,,,,,,,,,Rocky Antarctic Islands,Carnivore,2,Colony,,,,Can reach speeds of 20mph!,,GreyYellowBlackWhite,Feathers,,15 - 20 years,3kg - 6kg (6.6lbs - 13lbs),,,,,"Leopard Seal, Killer Whale, Sharks",Bird,60cm - 68cm (24in - 27in),Orange beak with yellow feathers on head,,,,,,,"Krill, Fish, Shrimp",,,,,Krill,,,1,0,0
Ruby-Throated Hummingbird,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,Archilochus colubris,"Dragonflies, birds, snakes",,,7 million,Habitat loss,Male’s ruby-red throat,Eastern hummingbird,,Open woodlands,Herbivore,,,Hummingbird,1.0,Eastern United States and Caribbean,,,GreyWhiteGreen,Feathers,40 mph,3-5 years,0.11 ounces,2.3 - 3.5 inches,,,2,"Hawks, owls, crows, roadrunners",Bird,3.5 inches,,,,4 – 4.75 inches,11-16 days,,,,,,Tree or large shrub,12 months,Nectar,,1.0,1,0,0
Savannah Sparrow,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Passeriformes,Passerellidae,Passerculus,Passerculus sandwichensis,"Flies, caterpillars, beetles",Chicks,,"170,000,000",Environmental loss and ingesting insecticide,A yellow stripe over its eyes,,,"Open fields, prairies, meadows, and salt marshes",Omnivore,,Flock,Savannah Sparrow,,,,,BrownGreyYellowWhiteTan,Feathers,,2 - 6 years,.53 - 1 oz.,4 - 7 inches,,,,"Snakes, cats, and hawks",,,Its breast is white with dark streaks,,,,10 - 13 days,3 weeks,,,,Approximately 21 days,On the ground beneath decaying vegetable matter,,,,,1,0,0
Scarlet Macaw,"['Central-America', 'South-America']",Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,Ara macao,,,,"20,000 - 50,000",Habitat destruction,Brightly colored plumage,,,Rainforests,Omnivore,,,Scarlet macaw,1.0,Central and South America,,,YellowRedBlue,Feathers,35 mph,Up to 75 years,2lbs,30-35in,,,,"Jaguars, eagles, hawks, monkeys, and snakes",Bird,,,,,3ft,3-4 weeks,,,,,,Upper canopy,3-4 months,"Fruit, nuts, nectar, and insects",,,1,0,0
