taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_habitat
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Philodina,Philodina brevipes,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Macrotrachela,Macrotrachela fungicola,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Mniobia,Mniobia montium,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Macrotrachela,Macrotrachela oblita,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Rotaria,Rotaria macroceros,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Macrotrachela,Macrotrachela cancrophila,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Macrotrachela,Macrotrachela obtusa,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura seminatans,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Mniobia,Mniobia incrassata,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha colliflectens,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca ferox,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Dissotrocha,Dissotrocha kostei,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Rotaria,Rotaria rotatoria,[]
Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha elegans,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella quadricurvata,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Macrotrachela,Macrotrachela bilfingeri,[]
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Dissotrocha,Dissotrocha spinosa,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella pseudosimilis,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Philodina,Philodina squamosa,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Mniobia,Mniobia brachypoda,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Philodina,Philodina rugosa,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Philodina,Philodina parvicalcar,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Macrotrachela,Macrotrachela quadricornifera,[]
Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Squatinella,Squatinella retrospina,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Philodina,Philodina tranquilla,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Ploima,Dicranophoridae,Albertia,Albertia naidis,[]
Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella glossa,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Philodina,Philodina lepta,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Mniobia,Mniobia russeola,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha komareki,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Philodina,Philodina nitida,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Flosculariaceae,Trochosphaeridae,Filinia,Filinia grandis,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Otostephanos,Otostephanos cuspidilabris,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca rasmae,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha acornis,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Mniobia,Mniobia placida,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Ceratotrocha,Ceratotrocha velata,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura tridorsicornis,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella degreefi,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca ambigua,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Floscularia,Floscularia ringens,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Philodina,Philodina amethystina,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Flosculariaceae,Trochosphaeridae,Filinia,Filinia hofmanni,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha stenochlaena,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella quinquecostata,[]
Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella tricostata,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Philodina,Philodina antarctica,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella angusta,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella evaginata,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Rotaria,Rotaria elongata,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha longicalcarata,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha crenata,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Dissotrocha,Dissotrocha bjoerki,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca edentata,[]
Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca ornata,[]
Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella triprojectus,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Sinantherina,Sinantherina ariprepes,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura kostei,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Stephanoceros,Stephanoceros fimbriatus,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha baradlana,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha valida,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Mniobia,Mniobia discophora,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Colurella,Colurella uncinata,[]
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Mniobia,Mniobia barbatula,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Macrotrachela,Macrotrachela pilousi,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Mniobia,Mniobia lobata,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha praelonga,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella tyleri,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella minoruoides,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Pleuretra,Pleuretra similis,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella parasitica,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha munda,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Macrotrachela,Macrotrachela muricata,['FRESHWATER']
