name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features,domesticos,protegidos,exoticos
Aardvark,['Africa'],Animalia,Chordata,Mammalia,Tubulidentata,Orycteropodidae,Orycteropus,Orycteropus afer,"Termites, Ants",Cub,Solitary,Unknown,Habitat loss,"Long, sticky tongue and rabbit-like ears","Antbear, Earth Pig",7 months,Sandy and clay soil,Omnivore,1,Nocturnal,Aardvark,18.0,Sub-Saharan Africa,Can move 2ft of soil in just 15 seconds!,Mammal,BrownGreyYellow,Hair,25 mph,23 years,60kg - 80kg (130lbs - 180lbs),1.05m - 2.20m (3.4ft - 7.3ft),2 years,3 months,,,,,,,,,,,,,,,,,,1,0,0
Aardwolf,['Africa'],Animalia,Chordata,Mammalia,Carnivora,Hyaenidae,Proteles,Proteles cristata,Termites and other insects,Cubs or pups,Solitary,,Habitat loss,The thick mane that runs along the back,"Maanhaar-jackal, termite-eating hyena, and civet hyena",90 days,Savannas and grasslands,Carnivore,,,aardwolf,1.0,Sub-Saharan Africa,,,BrownYellowBlack,Hair,,15 years,17-31lbs,33-41in,1.5-2 years,3-4 months,2-5,"Jackals, lions, and leopards",mammal,16-20in,,,,,,,,,,,,,,1,0,0
Abyssinian,['Africa'],Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,,,,,,,aka Aby or Abys for short,,,Omnivore,6,,Abyssinian cat,,,The oldest breed of cat in the world!,Cat,BrownGreyBlackWhiteBeige,Hair,,13-15 years,6-10 lbs,,,,,,Shorthair,,Silky fur and almond shaped eyes,Intelligent and curious,Easy,,,,,,,,,,,1,0,0
Addax,['Africa'],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Addax,Addax nasomaculatus,,Calf,Social,Less than 500 in the wild,"Overhunting, poaching, habitat destruction, climate change, human activity.","Its long, beautiful, spiral horns"," White antelope, screwhorn antelope, bakr al wahsh",257 to 264 days,Desert and semidesert habitats,Herbivore,,,Addax,1.0,"Areas of Niger, Chad, Mali, Mauritania, Libya, Sudan, reintroduced into Tunisia and Morocco",,herd,WhiteGrey-Brown,Hair,,19-25 years,,47 to 51 inches with a 9.8 to 13.8 inch tail,"Two years for males, two to three years for females",5 to 9 months,1-2,"Humans, big cats such as lions and leopards, medium-sized cats such as servals, hyenas and African wild dogs",Mammal,"Males 41 to 45 inches at the shoulder, females 37 to 43 inches at the shoulder",,,,,,,,,,,,,,1,0,0
Affenpinscher,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,3,,Affenpinscher,,,First bred in 17th century Germany!,Dog,GreyBlack,Hair,,,,,,,,,Terrier,,Dark wiry-haired body and dark eyes,Alert and inquisitive,Medium,,,,,,,,,,,1,0,0
Afghan Hound,['Asia'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,7,,Afghan Hound,,,First used as a shepherd and hunter!,Dog,BrownBlackWhiteGold,Hair,,,,,,,,,Hound,,Long fur and pointed muzzle,Alert yet reserved and lively,Moderately Easy,,,,,,,,,,,1,0,0
African Bush Elephant,['Africa'],Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana africana,"Grass, Fruit, Roots",Calf,Herd,"300,000",Poaching and habitat loss,"Large, rounded ears",African Elephant,20 - 24 months,"Forest, savannah and flood plains",Herbivore,1,Diurnal,African Bush Elephant,1.0,central and southern Africa,Can drink up to 50 gallons a day,Mammal,BrownGrey,Leather,25 mph,60 - 70 years,"3,600kg - 5,400kg (7,900lbs - 12,000lbs)",,11 - 20 years,6 - 18 months,,"Human, Lion, Hyena",,3m - 3.5m (10ft - 12ft),,,,,,,,,,,,,,1,0,0
African Civet,['Africa'],Animalia,Chordata,Mammalia,Carnivora,Viverridae,Civettictis,Civettictis civetta,"Rodents, Snakes, Frogs",Pup,Solitary,Abundant,Habitat loss,Black band around their eyes,,60 - 70 days,Tropical rainforest,Omnivore,3,Nocturnal,African Civet,1.0,across sub-Saharan Africa,Secretes up to 4g of musk every week!,Mammal,BrownGreyYellowBlackWhiteTan,Fur,,15 - 20 years,1.4kg - 4.5kg (3lbs - 10lbs),,11 - 12 months,8 - 10 weeks,,"Lions, Snakes, Leopards",,43cm - 71cm (17in - 28in),,,,,,,,,,,,,,1,0,0
African Forest Elephant,['Africa'],Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Loxodonta,Loxodonta cyclotis,"Grass, Fruit, Roots",Calf,Herd,"200,000",Poaching and habitat loss,"Rounded ears and thin, straight tusks",African Elephant,22 - 24 months,"Forest, savannah and flood plains",Herbivore,1,Diurnal,African Forest Elephant,1.0,central and southern Africa,Have large rounded ears to help keep them cool!,Mammal,BrownGrey,Leather,24 mph,60 - 70 years,"900kg - 3,000kg (1,984lbs - 6,613lbs)",,11 - 20 years,5 years,,"Human, Lion, Hyena",,2m - 3m (6.6ft - 9.8ft),,,,,,,,,,,,,,1,0,0
African Palm Civet,['Africa'],Animalia,Chordata,Mammalia,Carnivora,Nandiniidae,Nandinia,Nandinia binotata,"Rodents, Snakes, Frogs",Pup,Solitary,Locally abundant,Habitat loss,"Snout with sharp, pointed teeth",Two-Spotted Palm Civet,64 days,Tropical rainforest,Omnivore,2,Crepuscular,African Palm Civet,1.0,eastern Africa,Solitary but gathers in groups!,Mammal,BrownGreyYellowBlackWhiteTan,Fur,,15 - 20 years,1.4kg - 4.5kg (3lbs - 10lbs),,2 - 3 years,2 months,,"Lions, Snakes, Leopards",,43cm - 71cm (17in - 28in),,,,,,,,,,,,,,1,0,0
African Wild Dog,['Africa'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycaon,Lycaon pictus,"Antelope, Warthog, Rodents",Pup,Pack,"Less than 5,000",Habitat loss,Four toes on each foot rather than five,"Hunting Dog, Painted Dog, Painted Wolf",70 days,Open plains and savanna,Carnivore,8,Crepuscular,African Wild Dog,1.0,sub-Saharan Africa,Also known as the painted dog!,Mammal,BrownGreyRedBlackWhiteGoldTan,Fur,45 mph,10 - 13 years,17kg - 36kg (39lbs - 79lbs),75cm - 110cm (29in - 43in),12 - 18 months,3 months,,"Lions, Hyenas, Humans",,,,,,,,,,,,,,,,1,0,0
Aidi,['Africa'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,Puppy,,,,,"Atlas Mountain Dog, Atlas Shepherd Dog, Berber Dog, Chien de l'Atlas, and Chien de montagne de l'Atlas",,,Omnivore,,,Aidi,,,,,RedBlackWhiteTawny,Hair,,12-15 years,,,,,5-8 puppies,,Mammal,,,protective and playful,,,,,,,,Morocco,,,,0,1,0
Ainu,['Asia'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,7,,Ainu Dog,,,An innate sense of direction!,Dog,BrownGreyWhiteTan,Hair,,,,,,,,,Working,,Sharply pointed ears and upturned tail,"Fearless, determined and loyal",Hard,,,,,,,,,,,0,1,0
Airedale Terrier,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,8,,Airedale Terrier,,,"Very intelligent, independent and strong-minded!",Dog,BrownBlackTan,Hair,,,,,,,,,Terrier,,Long muzzle and square body,"Friendly, adaptable and courageous",Fairly Easy,,,,,,,,,,,1,0,0
Airedoodle,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0
Akbash,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,8,,Akbash,,,Often used as a guard dog!,Dog,BrownWhite,Hair,,,,,,,,,Guard,,Big head and powerful jaws,"Calm, independent, brave and protective",Hard,,,,,,,,,,,1,0,0
Akita,['Asia'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,7,,Akita,,,"Very clean, intelligent and loyal!",Dog,BrownGreyBlackWhite,Hair,,10 – 15 years,130 lbs,,,,,,Working,,Pointed ears and upward curving tail,"Intelligent, courageous and fearless",Medium - Hard,,,,,,,,,,,0,1,0
Akita Shepherd,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownGreyRedBlackWhiteBrindleSilver,Hair,,10 to 13 years,120 lbs,,,,,,,,,"Loyal, hard-working, and courageous",,,,,,,,,,,,0,1,0
Alabai,['Eurasia'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,GreyBlackWhiteBrindleMulti-colored,Hair,,12 – 15 years,110+ lbs,,,,,,,,,"Independent, proud, and affectionate",,,,,,,,,,,,0,1,0
Alaskan Husky,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownGreyRedBlackWhite,Hair,,10 – 12 years,65 lbs,,,,,,,,,"Energetic, hard-working, and affectionate",,,,,,,,,,,,0,1,0
Alaskan Klee Kai,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,Puppy,,,,"the contrasting colored facial mask with the well-defined nose bar down the center of the muzzle, and goggles around the eyes",,,,Omnivore,,,,,,,,GreyRedBlackWhite,Hair,,13-16 years,,,,,1-5 puppies,,,,,,,,,,,,,Alaska,,,,0,1,0
Alaskan Malamute,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,6,,Alaskan Malamute,,,Often used as sled dogs!,Dog,GreyBlackWhite,Hair,,,,,,,,,Working,,Pointed face and upturned tail,"Affectionate, friendly and loyal",Medium,,,,,,,,,,,1,0,0
Alaskan Shepherd,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownGreyRedBlueBlackWhiteCreamSilver,Hair,,9-13years,85 lbs,,,,,,,,,"Loyal, attentive, and hard-working",,,,,,,,,,,,0,1,0
Alpaca,['South-America'],Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Vicugna,Vicugna pacos,,Cria,Herd,Least concern,Loss of rangeland,Hypoallergenic fleece,Vicugna,242-345 days,"Farms, temperate high meadow",Herbivore,,,Alpaca,1.0,"Andes Mountains of Peru, Bolivia, Ecuador and Chile",,,BrownFawnBlackWhiteTanDark BrownCreamChocolateCaramelBeigeChestnutWhite-BrownBlack-BrownSandyGoldenBlondeLight-Brown,Fur,35 mph,15-20 years,48-84 kilograms (106-185 pounds),120-225 centimeters (4-7 feet),Females 18 months; males two to three years,Around six months,One,,,81-99 centimeters (32-39 inches) to withers,,,,,,,,,"Hay, pasture grass and/or silage",,,,,1,0,0
Alpine Dachsbracke,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,8,,Alpine Dachsbracke,,,Good companion and hard-working breed!,Dog,BrownRedBlack,Hair,,12 years,,,,,,,Scent Hound,,"Elongated body and short, stocky legs","Fearless, friendly and intelligent",Easy,,,,,,,,,,,0,1,0
Alpine Goat,"['Europe', 'North-America']",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra aegagrus hircus,,Kids,Herd,,Habitat reduction,"Tall, slightly curved horns","French Alpine, British Alpine, Rock Alpine",155 days,"Domestic, mountains",Herbivore,,,Alpine goat,,,,,BrownGreyBlackWhite,Hair,15 mph,15-18 years,135-175 lbs,,2 years,8 weeks,1.75,"Wolves, mountain lions, bobcats, and other carnivores",Mammal,32 inches,,,,,,,,,"Grass, vegetation",,,,,1,0,0
Alusky,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownGreyBlackWhiteSilver,Hair,,10 to 15 years,100 lbs,,,,,,,,,Energetic and friendly,,,,,,,,,,,,0,1,0
Amazon River Dolphin (Pink Dolphin),['South-America'],Animalia,Chordata,Mammalia,Cetacea,Platanistoidea,Platanistidae,Platanistoidea,,,,,,,,,Large tropical rivers and estuaries,Carnivore,1,School,,,,Also known as the 'Pink Dolphin',,GreyPink,Smooth,18 mph,12-18 years,100-200kg (220-440lbs),,,,,Human,Mammal,,,,,,"Fish, Prawns, Frogs",,,,Fish,,,,,1,0,0
American Alsatian,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Carnivore,,,American Alsatian,,,,,BlackGoldCreamSilver,Hair,,,66-88 pounds,,,,,,,24-26 inches,,"Calm, friendly, and loyal",,,,,,,,,,,,0,1,0
American Bulldog,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,8,,American Bulldog,,,Can jump up to 6ft high!,Dog,BrownRedBlackWhiteTanBrindle,Hair,,,,,,,,,Mastiff,,Small pendant shaped ears and strong body,Assertive but loyal and friendly,Hard,,,,,,,,,,,1,0,0
American Cocker Spaniel,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,4,,American Cocker Spaniel,,,"Merry, outgoing, and eager to please!",Dog,BrownGreyFawnRedBlackWhiteTan,Hair,,,,,,,,,Gun Dog,,"Long, dropped ears and feathered feet","Friendly, happy and enthusiastic",Easy,,,,,,,,,,,0,1,0
American Coonhound,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,7,,American Coonhound,,,Easygoing and people-friendly!,Dog,BrownBlackWhiteTan,Hair,,12 years,,,,,,,Working,,"Long ears and strong, muscular legs",Sweet and even-tempered,Medium,,,,,,,,,,,0,1,0
American Eskimo Dog,"['Europe', 'North-America']",Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,5,,American Eskimo Dog,,,The American Eskimo has splendid all white fur and an upturned tail,Dog,White,Hair,,13 - 15 years,,,,,,,,,"Bright, white coat and pointed ears",Playful and smart,Fairly easy,,,,,,,,,,,0,1,0
American Foxhound,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,7,,American Foxhound,,,"Sweet, kind, loyal, and very loving!",Dog,BlackWhiteTan,Hair,,10 to 12 years,,,,,,,Hound,,"Long legs and wide, flat ears","Mix of affectionate, loving, and stubborn",Medium,,,,,,,,,,,0,1,0
American Hairless Terrier,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0
American Leopard Hound,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,puppy,,,,,American Leopard Cur,,,Omnivore,,,,,,,,YellowBlueBlackTanBrindle,Hair,42 mph,12-15 years,,,,,5-8 puppies,,mammal,,,"Intelligent, athletic, and friendly",,,,,,,,United States,,,,0,1,0
American Pit Bull Terrier,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,8,,American Pit Bull Terrier,,,These dogs are very energetic and would be up for a game at any given point of time,Working dog,BrownBlackWhiteTanBrindle,Hair,,8 to 15 years,,,,,,,Mastiff,,Small and sharply pointed ears,"Friendly, loyal, playful, affectionate, and slightly stubborn sometimes",,,,,,,,,,,,0,1,0
American Pygmy Goat,['North-America'],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra aegagrus hircus,,Kid,Herd,,,Small size,"Pygmy Goat, African Pygmy, Dwarf Cameroon",5 months,"Rocky terrain, Hillsides, Plains, Farmland",Herbivore,,,Pygmy goat,,United States,,,GreyBlackWhiteCaramel,Fur,,8-12 years,30-90 lbs,18-33 inches,2-4 months,8 weeks,1-4,"dogs, coyotes, bobcats",Mammal,15-20 inches,,,,,,,,,Greens and grains,,,,,1,0,0
American Staffordshire Terrier,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,6,,American Staffordshire Terrier,,,Bred to be extremely friendly!,Mastiff,BrownBlackWhiteTan,Hair,,,,,,,,,,,,Dominant and stubborn yet loyal,Should be trained from a very early age using assertive techniques and should be intensively socialised with other dogs,,,,,,,,,,,1,0,0
American Water Spaniel,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,5,,American Water Spaniel,,,Friendly and intelligent!,Gun Dog,BrownBlackDark Brown,Hair,,,,,,,,,,,,"Intelligent, quiet and calm","Should be trained from an early age using short, ongoing sessions as assertive training methods tend to be ineffective",,,,,,,,,,,1,0,0
Amur Leopard,"['Asia', 'Eurasia']",Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera pardus orientalis,"Deer, Cattle, hares, small mammals",,,103 as of 2018,Poaching and habitat loss,,,90-105 days,Forests,Carnivore,2-3 cubs,Solitary,Amur leopard,,Russia's Far East,The Amur leopard may be the rarest big cat on Earth!,Mammal,,Hair,,10 - 15 years in wild; up to 20 in captivity,25kg - 48kg (55lbs - 106lbs),90 cm - 180 cm (3ft - 6ft) excluding tail,,,,Human poaching and competition with Siberian tigers,,,,,,,,,,,,,,,,1,0,0
Anatolian Shepherd Dog,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,9,,Anatolian Shepherd Dog,,,Guards it's master's flocks!,Guard,BrownFawnRedBlueWhiteBrindleCream,Hair,,11-13 years,80-150 pounds,,,,5-10 pups,,,27-29 inches,,"Courageous, powerful, protective, calm and devoted.",Should be trained from an early age and respond best to motivational training as they can be dominant and stubborn,,,,,,,,,,,0,1,0
Angora Ferret,"['Europe', 'North-America']",Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela furo,"Mice, rats, gophers, birds, small mammals, small birds, small reptiles, small amphibians.",Pups,Solitary,Unknown,Other household pets,"Long thin body, small nose, long and shiny fur.",Ferret,42 days,"Forests, grasslands.",Carnivore,,,Angora ferret,1.0,,,,BrownBlackWhiteSandy,Fur,15 mph,5-9 years,1.5 – 4.5 lbs.,18 – 21 inches,4 – 8 months,7+ weeks,8,"Wolves, dogs.",Mammal,,,,,,,,,,,,,,,1,0,0
Angora Goat,"['Africa', 'Asia', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra aegagrus hircus,,Kid,Herd,,Coyotes,Angora goats produce mohair fiber.,Angoras,150 days,Farms,Herbivore,,,Angora goats,1.0,Worldwide,,Flock,RedBlackWhite,Hair,,10 years,82kg-100kg (180lbs-220lbs),127cm(50in),6-7 months,4-6 months,1,Coyotes,Mammals,91cm-122cm(38in-48in),,,,,,,,,,,,,,1,0,0
Anteater,"['Central-America', 'South-America']",Animalia,Chordata,Mammalia,Xenarthra,Myrmecophagidae,Tamandua,Myrmecophaga Tridactyla,,,,,,,,,Forest and grasslands,Omnivore,1,Solitary,,,,Found throughout the Southern Hemisphere!,,BrownGreyBlackTan,Fur,18 mph,9 - 20 years,18kg - 40kg (40lbs - 88lbs),0.9m - 2.1m (3ft - 7ft),,,,"Puma, Snakes, Jaguar",Mammal,,Elongated snout and long sticky tongue,,,,"Ants, Termites, Insects",,,,Ants,,,,,1,0,0
Antelope,"['Africa', 'Asia', 'Eurasia', 'North-America']",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,,,,,,,,,,,Forest and grasslands,Herbivore,1,Herd,,,,Renew their horns every year!,,BrownRedTan,Fur,43 mph,10 - 25 years,"500kg - 900kg (1,100lbs - 2,000lbs)",,,,,,Mammal,1m - 1.5m (3 - 5ft),Long legs and curved antlers,,,,"Grass, Shoots, Seeds",,,,Grass,,,,,1,0,0
Ape,"['Africa', 'Asia']",Animalia,Chordata,Mammalia,Primates,Hominidae,,Hominoidea,Varies,"Infant, baby",Community-minded,Various,Humans,Varies,Varies,Eight months,"Mountains, rainforests, forests",Herbivore,,,,26.0,Africa and Asia,,Tribe,BrownRedBlueBlackGreen,,,50 years; longer for humans,Varies,Varies,,,One,"Crocodiles, Eagles, big cats",,Varies,,,,,,,,,,,,,,1,0,0
Appenzeller Dog,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,6,,Appenzeller Dog,,,Herding dog by nature!,Sennenhund,BlackWhiteTan,Hair,,12 – 14 years,,,,,,,,,,Energetic and alert,Should be trained from an early age and respond best to firm and consistent training,,,,,,,Switzerland,,,,0,1,0
Apple Head Chihuahua,['Central-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,FawnRedBlueBlackGoldTanCreamSilverChocolate,Hair,,14 to 16 years,6 lbs,,,,,,,,,"Sassy, courageous and loyal",,,,,,,,,,,,0,1,0
Arctic Fox,"['Eurasia', 'Europe', 'North-America']",Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes lagopus,,kit,,,,,,,Polar forest regions,Carnivore,5,Solitary,,,,Extremely thick winter fur!,,GreyBlackWhite,Fur,30 mph,7 - 10 years,1.4kg - 9.4kg (3lbs - 21lbs),70cm - 110cm (28in - 43in),,,,"Snowy Owl, Wolf, Polar Bear",Mammal,,Thick fur that changes colour with season,,,,"Lemmings, voles, hares, other small rodents, berries, insects",,,,Lemmings,,,,,1,0,0
Arctic Hare,['North-America'],Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus Arcticus,,,,,,,,,Tundra and rocky areas,Herbivore,6,Herd,,,,Eats berries found in the snow!,,GreyWhite,Fur,40 mph,3 - 8 years,4kg - 5kg (9lbs - 12lbs),48cm - 67cm (19in - 26in),,,,,Mammal,,Thick fur that changes colour with seasons,,,,"Grass, Willow, Flowers",,,,Grass,,,,,1,0,0
Arctic Wolf,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canus Lupus Arcticus,,,,,,,,,Grass plains and tundra forests,Carnivore,4,Pack,,,,Incredibly versatile and adaptive!,,GreyWhite,Fur,46 mph,7 - 10 years,25kg - 40kg (55lbs - 88lbs),60cm - 91cm (24in - 36in),,,,Human,Mammal,,,,,,"Deer, Elk, Moose",,,,Deer,,,,,1,0,0
Armadillo,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Dasypus,Dasypodidae,,,,,,,,,Forest and grasslands,Omnivore,4,Solitary,,,United States,"Can curl into a hard, protective ball!",,GreyBlackPink,Boney Plates,30 mph,4 - 12 years,4kg - 30kg (9lbs - 66lbs),36cm - 75cm (14in - 30in),,,,"Bear, Wolf, Coyote",Mammal,,Armoured plated skin and can curl into a ball,,,,"Insects, Ants, Termites",,,,Insects,,,,,1,0,0
Asian Elephant,['Asia'],Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,Elephas maximus,,,,,,,,,Rainforest and tropical woodland,Herbivore,1,Herd,,,,Domesticated for hundreds of years!,,BrownGreyBlack,Leather,27 mph,55 - 70 years,"3,000kg - 5,000kg (6,500lbs - 11,000lbs)",,,,,"Human, Tiger",Mammal,2m - 3m (7ft - 10ft),Long trunk and large feet,,,,"Grass, Fruit, Roots",,,,Grass,,,,,1,0,0
Asian Palm Civet,['Asia'],Animalia,Chordata,Mammalia,Carnivora,Viverridae,Paradoxurus,Paradoxurus hermaphroditus,,,,,,,,,Tropical rainforest,Carnivore,2,Solitary,,,,It mainly eats mangos and coffee!,,BrownGreyYellowBlackWhiteTan,Fur,,15 - 20 years,1.4kg - 4.5kg (3lbs - 10lbs),,,,,"Lions, Snakes, Leopards",Mammal,43cm - 71cm (17in - 28in),"Elongated body and snout with sharp, pointed teeth",,,,"Rodents, Snakes, Frogs",,,,Rodents,,,,,1,0,0
Asiatic Black Bear,"['Asia', 'Eurasia']",Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,Ursus tibetanus,"Nuts, Fruits, Insects",Cub,Solitary,"50,000",Hunting and Habitat loss,Distinctive v-shaped marking on chest,"Asian Black Bear, Himalayan Black Bear, Tibetan Black Bear, Moon Bear",6 - 8 months,Deciduous Tropical Forest,Omnivore,2,Nocturnal,Asiatic Black Bear,7.0,"Central and Southern Asia, Russia and Japan",Known to eat 160 different tree-borne fruits in Thailand!,Mammal,BrownBlackWhite,Fur,25 mph,15 - 25 years,90kg - 115kg (198lbs - 253lbs),,4 - 5 years,6 months,,"Tiger, Wolves, Humans",,1.2m - 1.9m (4ft - 6.25ft),,,,,,,,,,,,,,1,0,0
Aurochs,"['Asia', 'Europe', 'North-America']",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,,Calves,Herds,None,,Its impressive size,,,"Grasslands, floodplains, and light woodlands",Omnivore,,,Aurochs,,"Europe, Asia, and North Africa",Extinct ancestor of all domesticated cattle!,Cattle,,Hair,,Perhaps 20 years on average,"Up to 1,360kg (3,000lbs)",,A few years,,,Wolves and large cats,,1.2m – 1.8m (4ft – 6ft),,,,,,,,,Grass,,,,,1,0,0
Aussiedoodle,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,Aussiedoodle,,,,,RedBlueBlackTanMulti-colored,Hair,,10-13 years,75lbs,,,,,,,,,,,,,,,,,,,,,0,1,0
Aussiedor,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownBlackGoldBrindleChocolate,Hair,,12 years,,,,,,,,,,"Affectionate, energetic, and loyal",,,,,,,,,,,,0,1,0
Australian Bulldog,['Oceania'],Animalia,Hemichordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,FawnRedBrindleOrangePeachBlack-Brown,Hair,,12 years,78 lbs,,,,,,,,,"Intelligent, fiercely loyal, and sweet-natured",,,,,,,,,,,,0,1,0
Australian Cattle Dog,['Oceania'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,5,,Australian Cattle Dog,,,High energy levels and active minds!,Herd Dog,GreyRedBlack,Hair,,13-15 years,,,,,,,,17-20 inches,,Strong minded yet loyal and loving,Should be trained from an early age and respond best to firm and fair training,,,,,,,,,,,0,1,0
