name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features,domesticos,protegidos,exoticos
Raggle,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownBlackWhiteCream,Hair,,12 to 15 years,20 lbs,,,,,,,,,Strong-willed and energetic,,,,,,,,,,,,0,1,0
Rat,"['Africa', 'Antarctica', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus rattus,,,,,,,,,Underground close to human settlements,Omnivore,8,Solitary,,,,Omnivores that eat anything!,,BrownGreyBlackWhite,Fur,8 mph,2-5 years,200-900g (0.4-2lbs),,,,,"Owls, Snakes, Raccoon, Cats",Mammal,,,,,,"Eggs, Nuts, Potatoes, Corn",,,,Eggs,,,,,0,0,1
Rat Terrier,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,Rat Terrier,,,,,FawnBlueBlackWhiteChocolate,Hair,,15 - 18 years,35 lbs,,,,,,Terrier,,,Perceptive and stubborn,,,,,,,,,,,,0,1,0
Red Panda,['Asia'],Animalia,Chordata,Mammalia,Carnivora,Ailuridae,Ailurus,Ailurus fulgens,"Bamboo, Berries, Eggs",Cub,Solitary,"less than 3,000",Habitat loss,Rusty coloured thick fur and striped face,"Lesser Panda, Fire Fox",4 months,High-altitude mountain forest,Omnivore,3,Nocturnal,Red Panda,1.0,Himalayas,"There are less than 3,000 left in the wild!",Mammal,BrownRedWhite,Fur,24 mph,8 - 12 years,3kg - 6.2kg (7lbs - 14lbs),60cm - 120cm (24in - 47in),18 months,5 months,,"Snow Leopard, Marten, Human",,,,,,,,,,,,,,,,1,0,0
Red-handed Tamarin,['South-America'],Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus,Saguinus midas,,,,,,,,,Lowland tropical forest,Omnivore,2,Troop,,,,Red hair on hands on feet!,,BrownRedBlackGoldTan,Fur,24 mph,8 - 15 years,220g - 900g (7.7oz - 32oz),18cm - 30cm (7in - 12in),,,,"Hawks, Snakes, Wild Cats",Mammal,,"Small body size and long, thin tail",,,,"Fruit, Insects, Rodents",,,,Fruit,,,,,1,0,0
Rock Hyrax,"['Africa', 'Asia']",Animalia,Chordata,Mammalia,Hyracoidea,Procaviidae,Procavia,Procavia capensis,"Grasses, Fruits, Lizards",Pup,Colony,Sustainable,Habitat loss,Rubbery soles of their feet,"Rock Dassie, Rock Rabbit",8 months,Dry savanna and rainforest,Omnivore,2,Diurnal,Rock Hyrax,2.0,eastern to southern Africa,Actually related to Elephants and Manatees!,Mammal,BrownGreyYellowWhiteTan,Fur,18 mph,5 - 12 years,3kg - 4kg (6.6lbs - 8.8lbs),45cm - 55cm (17.7in - 21.6in),16 - 17 months,4 months,,"Leopards, Large Birds, Snakes",,,,,,,,,,,,,,,,1,0,0
Russian Bear Dog,['Eurasia'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownGreyBlackCream,Hair,,10 to 12 years,170 pounds,,,,,,,23 to 30 inches,,Bold and Fearless,,,,,,,,,,,,0,1,0
Russian Blue,['Eurasia'],Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,,,,,,,"Archangel Cat, Archangel Blue",,,Omnivore,6,,Russian Blue,,,First brought to the UK in the 1800s!,Shorthair,SilverLight GreyDark Grey,Hair,,15-20 years,"males 10-12 pounds, females 7-10 pounds",,,,,,,,,"Independent, easy-going and loyal",,,,,,,,,,,,1,0,0
Saanen Goat,['Europe'],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra aegagrus hircus,grass and legume,kid or billy,,"900,000",,white skin and short white coat,"Saanenziege, Chèvre de Gessenay, and Capra di Saanen",,cool weather and hilly terrain,Omnivore,2,HerdFlock,saanen goat,8.0,,,herd,WhiteCream,Hair,,about 10 years,,,9 months,12 months,,"Coyotes, bobcats, wild dogs, and wolves",mammal,30 inches,,calm,,,,,,,,Switzerland,,,,1,0,0
Saarloos Wolfdog,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,,Hair,,,,,,,,,,,,,,,,,,,,,,,,0,1,0
