name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,characteristics_diet
Stargazer Fish,"['North-America', 'Ocean', 'Oceania']",Animalia,Chordata,Actinopterygii,Trachiniformes,Omnivore
Swai Fish,['Asia'],Animalia,Chordata,Actinopterygii,Siluriformes,Omnivore
Tang,['Ocean'],Animalia,Chordata,Actinopterygii,Perciformes,Omnivore
Tarpon,['Ocean'],Animalia,Chordata,Actinopterygii,Elopiformes,Carnivore
Tetra,['South-America'],Animalia,Chordata,Actinopterygii,Characiformes,Omnivore
Tire Track Eel,['Asia'],Animalia,Chordata,Actinopterygii,Synbranchiformes,Carnivore
Toadfish,['Ocean'],Animalia,Chordata,Actinopterygii,Batrachoidiformes,Carnivore
Tuna,['Ocean'],Animalia,Chordata,Actinopterygii,Scombriformes,Omnivore
Wahoo Fish,['Ocean'],Animalia,Chordata,Actinopterygii,Scombriformes,Carnivore
Walking Catfish,['Asia'],Animalia,Chordata,Actinopterygii,Siluriformes,Omnivore
Walleye Fish,['North-America'],Animalia,Chordata,Actinopterygii,Perciformes,Carnivore
Wels Catfish,['Europe'],Animalia,Chordata,Actinopterygii,Siluriformes,Omnivore
Wrasse,['Ocean'],Animalia,Chordata,Actinopterygii,Perciformes,Carnivore
X-Ray Tetra,['South-America'],Animalia,Chordata,Actinopterygii,Characiformes,Omnivore
Yellowfin Tuna,['Ocean'],Animalia,Chordata,Actinopterygii,Scombriformes,Carnivore
Zebra Pleco,['South-America'],Animalia,Chordata,Actinopterygii,Siluriformes,Omnivore
Albacore Tuna,['Ocean'],Animalia,Chordata,Actinopterygii,Scombriformes,Carnivore
Banana Eel,['Ocean'],Animalia,Chordata,Actinopterygii,Anguilliformes,Carnivore
Barb,"['Africa', 'Asia', 'Eurasia', 'South-America']",Animalia,Chordata,Actinopterygii,Cypriniformes,Omnivore
Barracuda,['Ocean'],Animalia,Chordata,Actinopterygii,Perciformes,Carnivore
Barramundi Fish,['Ocean'],Animalia,Chordata,Actinopterygii,Perciformes,Carnivore
Beluga Sturgeon,['Ocean'],Animalia,Chordata,Actinopterygii,Acipenseriformes,Carnivore
Betta Fish (Siamese Fighting Fish),['Asia'],Animalia,Chordata,Actinopterygii,Perciformes,Carnivore
