name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_incubation_period,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_nesting_location,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_special_features,domesticos,protegidos,exoticos,altura_cm,peso_en_kg
Dachsador,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,YellowBlackChocolate,Hair,Unknown,12-15 years,40 lbs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Friendly, affectionate, and playful",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,0,,18.143694800000002
Dachshund,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Dachshund,Unkown,Unknown,Fun and playful breed of small dog!,Hound,RedBlackTanCreamChocolate,Hair,Unknown,15 years,32 lbs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Stubborn but playful and devoted,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,0,,14.51495584
Dalmadoodle,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,0,,
Dalmador,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,0,,
Dalmatian,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Dalmation,Unkown,Unknown,Have an energetic and playful nature!,Gun Dog,BlackWhiteLight-Brown,Hair,Unknown,13 years,60 lbs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Sensitive and energetic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,0,,27.2155422
Dapple Dachshund,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,RedBlueBlackTanCreamSilverChocolate,Hair,Unknown,12 to 16 years,16 to 32 pounds (standards); 11 pounds or less (miniature),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Friendly, courageous, independent",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,0,,14.51495584
Darwin’s fox,['South-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycalopex,Lycalopex fulvipes,"Small mammals, reptiles, insects and other invertebrates","Pup, cub, kit",Solitary,"639 adults, conservation status endangered","Habitat fragmentation, feral and domesticated dogs",Its small size,"Darwin's zorro, zorro chilote, zorro de Darwin",Perhaps two months,"Temperate rainforests, shrubland",Omnivore,Unknown,Unknown,Unknown,1.0,Chile,Unknown,Unknown,GreyRedBlack,Fur,45 mph,Seven years,4 to 8.7 pounds,20.79 inches,About one year,About two months,Two to three,Unknown,Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,200.66,3.17514659
Deer,"['Asia', 'Eurasia', 'Europe', 'North-America']",Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Unknown,Odocoileus virginiana,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Dense forest and planted areas,Herbivore,1,Herd,Unknown,Unkown,Unknown,There are around 40 different species!,Unknown,BrownWhiteTanOrange,Fur,43 mph,10 - 20 years,10kg - 450kg (22lbs - 990lbs),Unknown,Unknown,Unknown,Unknown,Unknown,Mammal,60cm - 105cm (24in - 206in),Long ears and some male species have antlers,Unknown,Unknown,Unknown,Unknown,Unknown,"Acorns, Fruit, Grass",Unknown,Unknown,Unknown,Acorns,Unknown,Unknown,Unknown,1,0,0,10.0,10.0
Deer Head Chihuahua,['Central-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,GreyFawnBlackWhiteSilver,Hair,Unknown,15 to 20 years,12 lbs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Charming, intelligent, and friendly",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,0,,5.4431084400000005
Deutsche Bracke,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Deutsche Bracke,Unkown,Unknown,Has long drop ears and a long narrow tail!,Hound,Unknown,Hair,Unknown,12 years,18kg (40lbs),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,18.0
Devon Rex,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Pixie cat,Unknown,Unknown,Omnivore,Unknown,Unknown,Devon Rex,Unkown,Unknown,Unknown,Unknown,BrownBlueWhiteTanOrangeChocolateLilac,Hair,Unknown,9-15 years,6-9 pounds,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,4.082331330000001
Dhole,['Asia'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Cuon,Cuon alpinus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Dry forest and thick jungle,Carnivore,8,Pack,Unknown,Unkown,Unknown,"Only 2,000 left in the wild!",Unknown,BrownGreyRedBlackWhiteGoldTan,Fur,45 mph,10 - 13 years,12kg - 20kg (26lbs - 44lbs),75cm - 110cm (29in - 43in),Unknown,Unknown,Unknown,"Tigers, Leopards, Humans",Mammal,Unknown,Bushy tail and distinctive calls,Unknown,Unknown,Unknown,Unknown,Unknown,"Deer, Rodents, Birds",Unknown,Unknown,Unknown,Deer,Unknown,Unknown,Unknown,1,0,0,12.0,12.0
Dik-Dik,['Africa'],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Madoqua,Unknown,Unknown,Calf,Pair,Unknown,"Some hunting, some habitat loss",Small pointed snout,"Madoqua, small antelope",5-6 months,"Savannahs, shrublands, bushes",Herbivore,Unknown,Unknown,Dik-dik,4.0,Eastern and southern parts of Africa,Unknown,Unknown,BrownGreyRedBlackTan,Hair,25 mph,5-10 years,7-14lbs,1.5-2.5 feet,12 months,3 months,1,"Hyenas, big cats, eagles, monitor lizards, humans",Mammal,12-16 inches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Vegetation, roots, berries",Unknown,Unknown,Unknown,1,0,0,60.96,4.762719885
Dingo,['Oceania'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus Dingo,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Desert, wet and dry forests",Carnivore,6,Pack,Unknown,Unkown,Unknown,Natively found on the Australian continent!,Unknown,BrownGreyYellowRedBlackTan,Fur,30 mph,7 - 15 years,13kg - 20kg (28lbs - 44lbs),100cm - 125cm (39in - 49in),Unknown,Unknown,Unknown,"Human, Large reptiles",Mammal,Unknown,Pricked ears and a long bushy tail,Unknown,Unknown,Unknown,Unknown,Unknown,"Rabbit, Lizards, Rodents",Unknown,Unknown,Unknown,Rabbit,Unknown,Unknown,Unknown,1,0,0,112.5,13.0
Doberman Pinscher,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Doberman Pinscher,Unkown,Unknown,"A gentle, loyal and loving breed!",Mastiff,Unknown,Hair,Unknown,12 years,40kg (88lbs),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,40.0,40.0
Dogo Argentino,['South-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Dogo Argentino,Unkown,Unknown,Loyal and affectionate to their family!,Mastiff,Unknown,Hair,Unknown,13 years,45kg (100lbs),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,45.0,45.0
Dogue De Bordeaux,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Dogue De Bordeaux,Unkown,Unknown,Extremely loyal and devoted to it's master!,Mastiff,Unknown,Hair,Unknown,8 years,45kg (100lbs),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,0,45.0,45.0
Dolphin,['Ocean'],Animalia,Chordata,Mammalia,Cetacean,Delphinidae,Unknown,Unknown,Unknown,Unknown,Pod,Unknown,Unknown,Unknown,Unknown,Unknown,"All of the world's oceans, rivers in Asia and South America",Carnivore,1,Pod,Unknown,Unkown,Unknown,Can reach speeds of up to 25 mph!,Unknown,GreyYellowBlackWhitePink,Smooth,25 mph,20 to 45 years,100 to 300 kg (220 to 660 lbs),2m - 4m (6.5ft - 13ft),Unknown,Unknown,Unknown,"Sharks, orcas",Mammal,Unknown,"A beaklike snout and rounded ""melon"" or forehead",Unknown,Unknown,Unknown,Unknown,Unknown,"Fish, Squid, Crustaceans",Brackish,Unknown,Unknown,Squid,Unknown,Unknown,Unknown,1,0,0,297.18,299.3709642
Donkey,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Equus Asinus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Arid forests and deserts,Herbivore,1,Herd,Unknown,Unkown,Unknown,"First domesticated 5,000 years ago!",Unknown,BrownGreyBlack,Fur,15 mph,15 - 30 years,200kg - 258kg (441lbs - 570lbs),Unknown,Unknown,Unknown,Unknown,"Fox, Wolf, Lion",Mammal,90cm - 130cm (35in - 51in),Stocky body and hee-haw sounds,Unknown,Unknown,Unknown,Unknown,Unknown,"Grass, Weeds, Vegetables",Unknown,Unknown,Unknown,Grass,Unknown,Unknown,Unknown,1,0,0,200.0,200.0
Dorgi,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,puppy,Unknown,Unknown,Unknown,long body and short legs,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Dorgi,Unkown,Unknown,Unknown,Unknown,BrownRedBlackWhiteChocolate,Hair,25 mph,12-15 years,Unknown,Unknown,Unknown,Unknown,2-5 puppies,Unknown,mammal,Unknown,Unknown,"Intelligent, friendly, and bold",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Germany and Wales,Unknown,Unknown,0,1,0,,
Dorkie,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,BlackWhiteTan,Hair,Unknown,10 - 13 years,12 pounds,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Laid-back and even-tempered,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,0,,5.4431084400000005
Dormouse,"['Africa', 'Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Mammalia,Rodentia,Gliridae,Unknown,Gliridae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Dense woodlands and shrub land,Omnivore,4,Solitary,Unknown,Unkown,Unknown,"Found in Europe, Africa and Asia!",Unknown,BrownGreyBlackWhiteGoldTan,Fur,8 mph,2 - 5 years,15g - 200kg (0.5oz - 7.1oz),6cm - 19cm (2.4in - 7.5in),Unknown,Unknown,Unknown,"Owls, Snakes, Weasels",Mammal,Unknown,"Long tail and thin, black whiskers",Unknown,Unknown,Unknown,Unknown,Unknown,"Fruits, Nuts, Insects",Unknown,Unknown,Unknown,Fruits,Unknown,Unknown,Unknown,1,0,0,12.5,0.2
Double Doodle,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,0,,
Douc,['Asia'],Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Pygathrix,Unknown,Unknown,Infant,Gregarious,"About 26,000 or less. The conservation status of all species of douc is critically endangered.",Humans,"Its colors, especially the colors of the red-shanked douc","Costumed apes, five color douc (for the red-shanked douc), Queen of Primates, douc langur",165 to 205 days,Tropical rainforests and monsoon forests,Herbivore,Unknown,Unknown,Douc,3.0,Indochina,Unknown,"Cartload, troop",GreyRedBlackWhiteOrange,Fur,Unknown,24 years,18 to 24 pounds,"21.5 to 24 inches, males larger than females, tail as long as the body",About four years,One year,"One, rarely two","Humans, possibly large birds of prey or big cats",Primate,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,60.96,10.886216880000001
Doxiepoo,['North-America'],Animalia,Chordata,Mammalia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,
Doxle,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,canis lupus familiaris,rabbits,puppies,PackSocial,unknown,Unknown,long ears,"Doxies, Beaschunds",2 months,Domesticated,Carnivore,4-6 puppies,PackSocial,Doxie,1.0,North America,Unknown,Unknown,Multi-colored,Fur,15 mph,10-15 years,15-30 pounds,10-12 inches,12 months,1-3 months,4-6 puppies,Unknown,mammal,9-11 inches,deep howl,"Sweet, Loyal, Affectionate",Unknown,Unknown,Unknown,Unknown,rabbits,Unknown,3 months,Unknown,meat,North America,Unknown,Unknown,1,0,0,27.94,13.6077711
Drever,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Drever,Unkown,Unknown,Uncommon outside of Europe!,Hound,Unknown,Hair,Unknown,14 years,15kg (33lbs),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,15.0
Dugong,['Ocean'],Animalia,Chordata,Mammalia,Sirenia,Dugongidae,Dugong,Dugong Dugon,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Warmer tropical waters and sea grass forests,Herbivore,1,Solitary,Unknown,Unkown,Unknown,Closely related to the Manatee!,Unknown,BrownGrey,Leather,13 mph,50 - 70 years,150kg - 400kg (330lbs - 880lbs),2.7m - 3m (8.9ft - 9.8ft),Unknown,Unknown,Unknown,"Human, Sharks, Crocodile",Mammal,Unknown,Large body size and forked tail,Unknown,Unknown,Unknown,Unknown,Unknown,"Sea Grass. Algae, Flowers",Unknown,Unknown,Unknown,Sea Grass,Unknown,Unknown,Unknown,1,0,0,270.0,150.0
Dunker,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Dunker,Unkown,Unknown,A friendly and relaxed dog!,Hound,Unknown,Hair,Unknown,14 years,22kg (49lbs),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,0,22.0,22.0
Dusky Dolphin,['Ocean'],Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Lagenorhynchus,Lagenorhynchus obscurus,"Anchovies, Sardines, Squid",Calf,Pod,Not Known,Hunting and commercial fishing,"Rounded black beak and tall, curved dorsal fin",Unknown,11 months,Cooler waters near continental shelves,Carnivore,1,Diurnal/Nocturnal,Dusky Dolphin,3.0,Across the southern hemisphere,"Communicates using whistles, squeaks and clicks!",Mammal,GreyBlueBlackWhite,Smooth,23 mph,18 - 25 years,80kg - 120kg (176lbs - 264lbs),1.6m - 2.1m (5ft - 7ft),4 - 5 years,18 months,Unknown,"Killer Whales, Sharks, Humans",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,80.0,80.0
Dwarf Hamster,"['Asia', 'Europe']",Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Cricetulus,Cricetulus barabensis,Unknown,pups,Solitary,57 million,"Global warming, pollution, industrial development.", Pouch-like cheeks,Unknown,20-22 days,"Deserts, desert edges, steppe, mountains, forests, scrublands.",Omnivore,Unknown,Unknown,dwarf hamster,Unkown,"Greece, Romania, Belgium, northern China",Unknown,solitary,BrownGreyWhiteTanSandy,Fur,5 mph,2-3 years,0.71 – 0.88 ounces,5.5 – 10.5 cm,four to five weeks old,three weeks,six,"Foxes, owls, eagles, kestrels, falcons.",mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,7.5,0.024947553438793447
Eastern Barred Bandicoot,['Oceania'],Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Perameles,Perameles gunnii,"Roots, berries, beetles, worms, grasshoppers",Joey,Solitary,"10,000-100,000",Habitat loss,Bars of black fur on its hindquarters,Pig rat,12 days,"Forest, grassland, desert",Omnivore,Unknown,Unknown,Bandicoot,19.0,Australia,Unknown,solitary,BrownGreyBlackWhite,Hair,12 mph,Unknown,Unknown,Unknown,91-152 days,50 days,1-4 joeys,"Red fox, dingo",Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,
Eastern Chipmunk,['North-America'],Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,Tamias striatus,Insects and worms,pup,Solitary,Unknown,Predators,The dark brown and white stripes down the back,Unknown,35 days,"Urban and suburban parks, backyards, human habitations, deciduous woods",Herbivore,Unknown,Unknown,Eastern Chipmunk,1.0,United States east of the Mississippi River and southern Canada,Unknown,solitary,YellowWhiteDark BrownGrey-Brown,Fur,18 mph,two to eight years,2.33 to 5.30 ounces,10 to 12 inches,"six months for females, eight months for males",40 days,two to five,"Foxes, bobcats, birds of prey, coyotes, dogs and cats, raccoons, red squirrels, mustelids",mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,30.48,0.15025231048364232
Eastern Gorilla,['Africa'],Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla berengei,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Tropical forest and jungles in mountainous regions,Omnivore,1,Social,Unknown,Unkown,Unknown,The largest primate in the world!,Unknown,BrownGreyBlack,Hair,25 mph,35 - 50 years,204kg - 227kg (450lbs - 500lbs),Unknown,Unknown,Unknown,Unknown,"Human, Leopard",Mammal,1.5m - 1.8m (5ft - 6ft),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Leaves, Seeds, Herbs",Unknown,Unknown,Unknown,Leaves,Unknown,Unknown,Unknown,1,0,0,,204.0
Eastern Gray Squirrel,['North-America'],Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus carolinensis,Bird eggs and baby birds (nest raiders),Kits,Solitary,2 million +,Human and habitat changes,Bushy tail,Gray squirrel,44 days,Mature woodlands,Omnivore,Unknown,Unknown,Gray squirrel,Unkown,Eastern United States and Canada,Unknown,Solitary,GreyGrey-Brown,Fur,20 mph,12 years,9 to 19 ounces,9 to 12 inches,1 year,10 weeks,2 to 4 kits,Unknown,Unknown,5 1/2 inches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,30.48,0.396893
Eastern Lowland Gorilla,['Africa'],Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla Berengei Graueri,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Tropical forest and jungles in mountainous regions,Omnivore,1,Social,Unknown,Unkown,Unknown,"Less than 5,000 in the wild!",Unknown,BrownGreyBlack,Hair,25 mph,35 - 50 years,204kg - 227kg (450lbs - 500lbs),Unknown,Unknown,Unknown,Unknown,"Human, Leopard",Mammal,1.5m - 1.8m (5ft - 6ft),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Leaves, Seeds, Herbs",Unknown,Unknown,Unknown,Leaves,Unknown,Unknown,Unknown,1,0,0,,204.0
Eastern Woodrat,['North-America'],Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotama,Neotama floridana,Unknown,kittens or pups,Solitary,"over 10,000 individuals",habitat loss,Exceptionally long tail of 15-20cm,bush rat,30-37 days,"Forest, caves, shrublands, grasslands, wetlands, and rocky outcrops",Herbivore,Unknown,Unknown,Eastern woodrat,8.0," Southeastern and Midwestern United States, from southern Illinois and New York state to as far south as central Florida",Unknown,Solitary,Grey-Brown,Hair,Unknown,3 years,0.47-0.73 lb (213-331 g),13.4-16.9 in (34-43 cm),5 months (females), 1 month,1-3,"Owls, raccoons, weasels, foxes, and snakes",Rodent,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,35.0,0.37874962895000003
Echidna,['Oceania'],Animalia,Chordata,Mammalia,Monotremata,Tachyglossidae,Tachyglossus,Tachyglossus Aculeatus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Cool and dry forests,Carnivore,1,Solitary,Unknown,Unkown,Unknown,Also known as the Spiny Anteater!,Unknown,BrownBlackWhite,Spiky,18 mph,15 - 40 years,4kg - 7kg (9lbs - 15lbs),35cm - 52cm (14in - 20in),Unknown,Unknown,Unknown,"Human, Eagle, Dingos",Mammal,Unknown,Long snout and spikes and curved claws,Unknown,Unknown,Unknown,Unknown,Unknown,"Ants, Termites, Insects",Unknown,Unknown,Unknown,Ants,Unknown,Unknown,Unknown,1,0,0,43.5,4.0
Egyptian Mau,['Africa'],Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,6,Unknown,Egyptian Mau,Unkown,Unknown,An ancient breed of domestic cat!,Shorthair,GreyBlueWhiteSilver,Hair,Unknown,12-16 years,8-14lbs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Loving, playful and clever",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,4.9895160700000005
